Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.32,0.150092968391,68.663067425,58.0068183326,5.97809197969,0.207291070776
0.321,0.150931519239,68.6351768562,58.1285478564,6.02165922372,0.200574292112
0.322,0.151769256303,68.6037987902,58.251343034,6.06509926752,0.194071982202
0.323,0.152607127712,68.5714734432,58.3707846042,6.10820818961,0.187777414763
0.324,0.153445065554,68.538034358,58.4880439767,6.15108416356,0.181684069771
0.325,0.154284150941,68.5063678619,58.6099088986,6.19474314034,0.175785627318
0.326,0.155123895068,68.4751851092,58.7286059647,6.23823323609,0.17007596165
0.327,0.155964002468,68.4437129522,58.8441379961,6.28146780762,0.164549135364
0.328,0.156804661008,68.4124617147,58.9627419668,6.32516497647,0.159199393783
0.329,0.15764536008,68.3800887239,59.0806130877,6.36877412105,0.154021159487
0.33,0.158487006019,68.3490083296,59.1955012359,6.4123110537,0.149009027003
0.331,0.159328525941,68.3163881561,59.3095545717,6.45569639877,0.144157757647
0.332,0.160170814607,68.2846095939,59.4267211899,6.49962026741,0.139462274517
0.333,0.161013324005,68.2522321062,59.5409022156,6.54325862017,0.134917657632
0.334,0.161855933856,68.2189489549,59.6521148087,6.58657277753,0.130519139205
0.335,0.162698959305,68.1856044878,59.7667880377,6.63036423568,0.126262099063
0.336,0.163542250338,68.1518125403,59.8802785604,6.67407667902,0.122142060193
0.337,0.164387838737,68.1229466526,59.9911940462,6.71816423904,0.118154684421
0.338,0.165234690374,68.0962806954,60.1014553705,6.76253633802,0.114295768215
0.339,0.166080279945,68.0651611982,60.2145031805,6.80681665813,0.110561238613
0.34,0.166925267005,68.03134259,60.3246791184,6.85056106371,0.106947149268
0.341,0.167770976486,67.9983285576,60.4321839713,6.89419176729,0.103449676609
0.342,0.168617329384,67.9659186997,60.5422864858,6.9382863079,0.100065116117
0.343,0.169464833658,67.9354575611,60.6521342179,6.98268067612,0.096789878705
0.344,0.170312760764,67.9050345341,60.7593667995,7.0268778242,0.0936204872118
0.345,0.171161135508,67.87472324,60.8646362152,7.07095806067,0.0905535729932
0.346,0.172010553466,67.8460968692,60.9741028264,7.115826987,0.0875858726156
0.347,0.172861078226,67.8193282807,61.0811276649,7.16073740636,0.0847142246478
0.348,0.173711294706,67.7907077992,61.1855667855,7.20521945495,0.0819355665469
0.349,0.174561379193,67.7607085092,61.290451883,7.24968148528,0.0792469316366
0.35,0.175412787837,67.733159556,61.3970660916,7.29474649554,0.0766454461752
0.351,0.176264371886,67.7050534537,61.5012311199,7.33954998483,0.0741283265101
0.352,0.177115116197,67.6737382441,61.6028401308,7.38374229903,0.0716928763176
0.353,0.177965526832,67.6405515528,61.7069503835,7.42808916941,0.0693364839243
